lmk_name,x_coord,y_coord,z_coord
Tragion L,57.265301,47.746502,-98.858574
Otobasion Inferius' L,51.727745,14.617517,-91.377182
Tragion R,-90.168991,41.512634,-95.555931
Otobasion Inferius' R,-80.065811,10.464849,-87.875542
Gonion' R,-67.823586,-15.37597,-74.373886
Gonion' L,40.666069,-15.587927,-70.834641
Frontotemporale' L,33.611851,104.50982,-15.651366
Frontotemporale' R,-67.745644,100.81954,-14.690928
Frontozygomaticus' L,41.437546,85.540764,-18.807896
Frontozygomaticus' R,-73.184021,78.309875,-17.317976
Endocanthion' R,-32.35743,65.197449,-8.383708
Endocanthion' L,4.5278096,66.933487,-10.047443
Midsupraorbital' L,18.789234,85.038513,-1.9715492
Midsupraorbital' R,-53.330284,78.91523,-2.9683208
Exocanthion' R,-64.522972,62.928043,-17.398014
Exocanthion' L,37.634163,70.127136,-22.955442
Glabella,-15.552273,90.576973,9.1946096
Nasion',-14.226087,78.761246,7.1169324
Pronasale',-11.6321,36.238396,30.727791
Alare' R,-32.122475,29.878311,1.3173198
Alare' L,8.0310507,28.081364,1.164775
Cheilion' L,19.482265,0.78499025,-5.0356607
Cheilion' R,-37.283588,-4.1564393,-3.2247813
Stomion',-8.1115379,-2.3610141,10.616774
Subnasale',-10.507061,21.176226,17.476242
Labiale Superius',-9.1341715,7.6121464,14.328165
Labiale Inferius',-8.1344881,-11.021768,11.14161
Gnathion',-7.7722006,-39.447693,0.38084647
