lmk_name,x_coord,y_coord,z_coord
Subnasale',-3.0962814985233864,-3.1416015776958996,41.35050448379235
Pronasale',-3.1293672839046174,10.286835971721729,57.8994564210181
Tragion L,71.32206772441606,24.39278757651572,-63.17753014081077
Tragion R,-80.36730795266942,19.291269844441047,-59.34123583136042
Nasion',-5.50304145328246,54.45109065500095,37.45894356909247
Alare' L,13.321444494390164,5.807919755210111,37.06811972354029
Alare' R,-20.938393265831607,3.53725799323359,37.392452820433675
Labiale Superius',-2.564476808391639,-19.87352391719716,45.275789833907254
Stomion',-2.1843890524193394,-27.48556973739703,41.425175232412016
Labiale Inferius',-1.8798275729661054,-37.013845767790684,40.796983478284005
Exocanthion' L,42.56043492551225,44.964032943173265,16.881921243375814
Endocanthion' L,12.283086698957705,41.90705732929206,25.774193102023787
Endocanthion' R,-22.028124165807938,40.911150450090695,25.484220999498007
Exocanthion' R,-53.9252144875727,40.285295788884326,14.974852648007015
Midsupraorbital' L,27.443359911371722,61.28866739637044,33.59325965763395
Midsupraorbital' R,-39.85962732033353,58.799954223013,33.60164056494881
Frontotemporale' R,-50.96654262841024,69.98835934069581,28.577697855977647
Frontotemporale' L,44.609412963689124,70.8429873598122,23.509162384001
Frontozygomaticus' R,-67.7980539482999,49.103243173899365,2.6779000185139807
Frontozygomaticus' L,56.7241240450284,52.54818041538269,0.05735202073645951
Cheilion' R,-27.65361162790162,-34.18954095227113,27.352801433549132
Cheilion' L,24.344126365293064,-28.861883661308653,30.1257469496025
Otobasion Inferius' R,-74.60757784812154,-5.286804443980273,-48.2484039323688
Otobasion Inferius' L,69.3024192468364,-1.6420116665625848,-53.47641912877303
Zygion' L,66.21739043073018,25.450682415663206,-25.512596391029547
Glabella,-5.534002433030485,68.01089155353321,41.36119157787965
Zygion' R,-76.68187428256421,20.071570156593904,-30.874425427151664
