lmk_name,x_coord,y_coord,z_coord
Frontotemporale' R,-67.745644,100.81954,-14.690928
Frontozygomaticus' R,-73.184021,78.309875,-17.317976
Endocanthion' R,-32.35743,65.197449,-8.383708
Endocanthion' L,4.5278096,66.933487,-10.047443
Midsupraorbital' L,18.789234,85.038513,-1.9715492
Midsupraorbital' R,-53.330284,78.91523,-2.9683208
Exocanthion' R,-64.522972,62.928043,-17.398014
Glabella,-15.552273,90.576973,9.1946096
Nasion',-14.226087,78.761246,7.1169324
Pronasale',-11.6321,36.238396,30.727791
Alare' R,-32.122475,29.878311,1.3173198
Alare' L,8.0310507,28.081364,1.164775
Cheilion' R,-37.283588,-4.1564393,-3.2247813
Stomion',-8.1115379,-2.3610141,10.616774
Subnasale',-10.507061,21.176226,17.476242
Labiale Superius',-9.1341715,7.6121464,14.328165
Labiale Inferius',-8.1344881,-11.021768,11.14161
Pogonion',-6.7020779,-31.768858,4.7468228
Gnathion',-7.7722006,-39.447693,0.38084647
Menton',-7.5671,-43.503891,-7.7386026
