lmk_name,x_coord,y_coord,z_coord
Nasion',-1.4567241032579448,86.46290687724368,-25.624287370670686
Glabella,-1.943028837721307,97.84219422696935,-22.8114443992053
Pronasale',-1.7306888756518446,42.11693962792914,-7.808987467114946
Subnasale',0.07121981446387782,28.99434519507757,-23.783459765125883
Labiale Superius',-0.09229832205057376,14.459602140218479,-24.221804032496493
Labiale Inferius',0.41507436295775024,0.29179964395632396,-28.384968165802093
Stomion',0.3872459992903292,6.147238482620551,-28.851470277450517
Supramentale',1.3399508507232984,-11.058635027679173,-36.224342617934894
Pogonion,1.2497696860842615,-29.05887044641476,-35.568889905167225
Gnathion',1.306107355387193,-34.816475158982115,-40.93993173823043
Menton,1.3543074530172818,-38.44780376303606,-46.876283043466685
Cheilion' L,23.77616615757692,11.521596009243105,-41.82199608374003
Alare' L,13.617866270612256,39.45421963510573,-24.76512224800007
Alare' R,-17.011364140309563,40.39144549048865,-23.198372495363458
Endocanthion' L,13.552082155576759,79.5555280522967,-43.66850591305689
Exocanthion' L,42.95589846672699,82.26596577479563,-47.89935084026877
Endocanthion' R,-16.773125079145398,80.0498366552853,-44.15128174157252
Midsupraorbital' L,28.901375552843415,89.9077974129846,-29.709374895557573
Midsupraorbital' R,-32.365288664568794,89.57681338461131,-29.836921120444174
Frontozygomaticus' L,53.15912327809836,86.95202874163715,-51.08859827565692
Frontotemporale' L,40.63655754584013,100.45812376541467,-35.9071310322409
Frontotemporale' R,-39.83238903078901,101.72812351188004,-34.264777710028284
