lmk_name,x_coord,y_coord,z_coord
Nasion',-10.066088601567017,69.3936034441285,-36.284607960787014
Glabella,-11.563213275825593,81.70174636848961,-31.574915595468667
Labiale Superius',-3.4389407812004835,-2.0626161389702915,-39.552514763024305
Cheilion' R,-32.31861566651871,-12.927819976517746,-57.41580951469098
Frontotemporale' L,37.5974767794477,92.33466556095374,-51.05227319806852
Frontotemporale' R,-63.31550862270222,78.98555402823911,-48.90282205450444
Subnasale',-4.364049790697708,12.303215075977114,-35.93879118473211
Stomion',-2.989139137814587,-11.481856380815266,-46.45083902889735
Supramentale',-1.0352677842695988,-28.52833929749641,-48.997556307525315
Pogonion,0.8961199087099914,-49.146957336456296,-49.16016952860804
Gnathion',1.7996062982265508,-55.00197716497282,-52.90717356097565
Alare' L,9.993502737266693,20.272106872175982,-37.74449426090888
Alare' R,-23.227172357180883,18.85020484002315,-41.92399385842009
Endocanthion' R,-28.579974339383355,60.45483976803476,-53.92468998434015
Exocanthion' R,-58.05463326398514,57.207956546988555,-58.649929326365225
Frontozygomaticus' R,-74.50113036870141,61.553562561073775,-68.17008407943268
Midsupraorbital' L,22.990961298213396,78.29851536353405,-42.81125173445548
Midsupraorbital' R,-45.42591148449498,67.93726463032498,-40.33817389611926
Labiale Inferius',-2.019969066909785,-17.446037866555912,-42.557452202965806
Menton,2.0827255317906923,-58.476900084451124,-58.454726491603935
Pronasale',-5.810661627658722,25.205737913968,-16.665378723987885
Endocanthion' L,7.346726995017268,64.94874783534382,-54.88808233491625
