lmk_name,x_coord,y_coord,z_coord
Supramentale',-13.679323205875786,-14.6784128115471,-67.58654106035254
Nasion',-15.658910126256409,79.8037789514321,-60.200344458633765
Glabella,-15.959647892257301,90.77935200531935,-58.99089714601968
Pronasale',-15.371624804093454,33.02737038552822,-40.447663574738954
Subnasale',-14.153013179189772,18.927931674713037,-58.445496228404124
Labiale Inferius',-13.990078098828063,-5.356969212282106,-63.41505587135873
Labiale Superius',-14.31490250898376,5.409992787165246,-60.535303236956736
Cheilion' R,-44.57290691379997,1.4039350350679953,-80.45423138623312
Cheilion' L,11.835674474744065,1.6186491486010315,-79.42733308476903
Alare' L,3.558196051470633,31.559066909824818,-60.94476765066014
Alare' R,-34.869775859861235,31.80314689443336,-61.6886918963076
Endocanthion' L,0.14991392616028953,67.71996350835916,-71.5042541054649
Endocanthion' R,-32.79206314884517,67.78598796126757,-71.72366731362814
Exocanthion' L,29.1894457443549,69.57054790084895,-77.64003757925946
Exocanthion' R,-62.292025510928866,68.41551906021826,-77.67809136894277
Midsupraorbital' L,15.07143224009094,86.13651557639793,-62.042104592593034
Midsupraorbital' R,-49.50069557303827,82.321202938313,-61.97911972054163
Frontozygomaticus' L,40.20013160864139,75.6573514153685,-88.11005849690923
Frontozygomaticus' R,-71.39759357722824,72.71007775568141,-86.48078484565099
Frontotemporale' R,-59.08404942655073,93.31240158761157,-70.65437382100288
Frontotemporale' L,27.760071530603888,96.14585186303367,-69.53462886790533
Stomion',-13.924164662421711,-0.08704709947770617,-64.76190016683671
