lmk_name,x_coord,y_coord,z_coord
Alare' L,21.468391,31.189529,-169.39748
Alare' R,-15.230251,37.064358,-168.77614
Cheilion' L,24.646021,31.552956,-206.66988
Cheilion' R,-20.789965,40.737816,-206.28409
Endocanthion' L,25.1415,46.019699,-133.713
Endocanthion' R,-8.8011799,53.4664,-130.841
Exocanthion' L,53.497288,48.458378,-135.97963
Exocanthion' R,-35.222099,66.283699,-133.12
Frontotemporale' L,53.536999,43.207298,-108.307
Frontotemporale' R,-30.0585,56.560299,-101.99
Frontozygomaticus' L,63.905899,53.213001,-122.623
Frontozygomaticus' R,-42.868099,77.5485,-117.691
Glabella,7.0289001,37.6646,-104.619
Gnathion',2.5642002,39.342613,-249.42845
Gonion' L,68.799004,95.364304,-211.843
Gonion' R,-42.599701,116.321,-204.961
Labiale Inferius',2.638128,25.864162,-218.55931
Labiale Superius',2.236717,21.067268,-195.70972
Menton,3.9390593,45.798119,-252.67253
Midsupraorbital' L,41.067501,40.2668,-116.673
Midsupraorbital' R,-23.788099,53.537701,-115.451
Nasion',7.45717,36.230598,-118.255
Pogonion,2.6720924,32.861725,-233.77725
Tragion L,89.122704,111.14,-169.606
Tragion R,-49.816898,139.27901,-161.089
Pronasale',1.43528,10.564,-156.993
Stomion',2.4335425,25.341419,-201.79677
Subnasale',1.4881099,21.725201,-175.606
Supramentale',1.4197074,28.981575,-221.58521
Zygion' L,78.3106,79.377502,-162.58299
Zygion' R,-50.723202,101.272,-158.603
