lmk_name,x_coord,y_coord,z_coord
Alare' L,20.8804,29.292101,-169.054
Alare' R,-11.9476,38.534401,-168.168
Endocanthion' L,22.217899,40.3932,-146.713
Endocanthion' R,-10.637243,45.122356,-143.20787
Exocanthion' L,51.197079,44.690372,-147.01625
Exocanthion' R,-34.316002,57.572201,-146.942
Frontotemporale' L,47.947201,37.958199,-119.933
Frontotemporale' R,-28.4862,46.817902,-117.152
Frontozygomaticus' L,60.062599,48.099701,-128.842
Frontozygomaticus' R,-43.2257,66.239799,-128.905
Glabella,5.8474698,30.8172,-120.739
Midsupraorbital' L,38.482399,32.258202,-129.724
Midsupraorbital' R,-23.638399,42.254299,-130.631
Nasion',7.5479298,30.888,-132.47099
Otobasion Inferius' L,74.437561,103.30711,-187.10568
Otobasion Inferius' R,-46.936298,121.002,-179.978
Pronasale',5.28124,14.9911,-164.578
Subnasale',4.6799312,24.647053,-175.59601
Zygion' L,76.767403,81.027298,-160.556
Zygion' R,-51.486401,97.743401,-158.953
