lmk_name,x_coord,y_coord,z_coord
Alare' L,24.676321,41.905792,-162.04807
Alare' R,-8.7962084,44.718426,-164.0435
Cheilion' L,29.054804,41.002155,-186.76576
Cheilion' R,-8.688488,44.716988,-190.54941
Endocanthion' L,22.489765,54.434708,-129.97141
Endocanthion' R,-9.1794996,58.1642,-131.543
Exocanthion' L,46.602077,59.349323,-129.19008
Exocanthion' R,-33.339199,69.0867,-138.10699
Frontotemporale' L,42.7029,54.618698,-101.317
Frontotemporale' R,-32.476299,60.920399,-106.711
Frontozygomaticus' L,54.5051,65.6259,-111.431
Frontozygomaticus' R,-43.889801,80.152,-122.071
Glabella,2.9978499,43.759499,-105.91
Gnathion',15.8084,38.8992,-221.60699
Gonion' L,66.649101,105.061,-193.42101
Gonion' R,-35.439499,116.797,-201.395
Labiale Inferius',12.1515,33.450802,-194.103
Labiale Superius',8.8295603,34.119499,-177.91701
Menton,16.955,45.777,-227.29201
Midsupraorbital' L,35.692799,48.763599,-111.291
Midsupraorbital' R,-25.513,56.3372,-119.189
Nasion',4.9431,42.7481,-117.397
Otobasion Inferius' L,73.7276,113.53,-168.79601
Otobasion Inferius' R,-44.798401,125.859,-178.35899
Pogonion,15.5617,35.9837,-213.884
Pronasale',6.61409,20.4403,-154.789
Stomion',11.4254,34.673901,-186.317
Subnasale',8.9660702,32.6264,-170.69501
Supramentale',13.6896,36.9613,-199.81799
Zygion' L,71.646896,95.1437,-147.758
Zygion' R,-49.860619,106.59987,-144.86531
