lmk_name,x_coord,y_coord,z_coord
Alare' L,27.393154,44.146015,-161.51668
Alare' R,-12.2672,48.847099,-162.57001
Cheilion' L,33.135086,48.338898,-196.40796
Cheilion' R,-13.783607,52.181648,-196.1949
Endocanthion' L,25.8871,57.286999,-125.902
Endocanthion' R,-13.444099,62.681679,-125.93378
Exocanthion' L,54.227962,62.690407,-125.48613
Exocanthion' R,-37.918999,71.667503,-132.541
Frontotemporale' L,49.623199,57.237701,-97.499001
Frontotemporale' R,-34.7771,62.7981,-101.832
Frontozygomaticus' L,61.862099,67.796097,-109.698
Frontozygomaticus' R,-47.785801,81.839699,-117.466
Glabella,4.0443201,47.2188,-101.539
Gnathion',14.8036,48.0844,-233.698
Gonion' L,71.702301,115.016,-196.91299
Gonion' R,-40.753601,124.802,-202.31
Labiale Inferius',12.7373,39.173801,-206.69501
Labiale Superius',9.4357414,34.291943,-185.21437
Midsupraorbital' L,40.342201,52.316601,-107.154
Midsupraorbital' R,-27.518999,60.138901,-114.009
Nasion',5.8108602,46.517399,-112.623
Otobasion Inferius' L,81.243202,127.751,-170.373
Otobasion Inferius' R,-49.323502,140.53799,-175.25301
Tragion L,86.467499,130.888,-153.519
Tragion R,-55.114201,147.05316,-156.17915
Pronasale',6.68226,23.0376,-151.257
Stomion',10.5547,40.3465,-195.159
Subnasale',7.655201,33.339054,-168.21834
