lmk_name,x_coord,y_coord,z_coord
Alare' L,22.088766,38.263966,-161.24973
Labiale Inferius',7.39078,33.275299,-187.68401
Exocanthion' L,46.176178,49.185074,-139.43335
Endocanthion' L,19.813101,45.7799,-138.103
Tragion L,77.535347,108.39114,-159.3035
Tragion R,-48.707779,125.16621,-156.61673
Endocanthion' R,-9.0796947,50.163258,-136.77214
Nasion',5.9527702,35.625702,-125.121
Subnasale',5.3080802,31.905001,-168.187
Exocanthion' R,-32.05584,59.887012,-137.15157
Pronasale',3.81072,18.9044,-154.414
Midsupraorbital' L,35.516499,37.654202,-126.542
Frontotemporale' L,44.518398,44.038502,-115.58
Frontotemporale' R,-28.5966,52.163898,-113.979
Frontozygomaticus' R,-42.1936,71.764099,-124.504
Cheilion' R,-14.508077,46.657864,-180.6927
Zygion' L,72.735603,84.707397,-155.03799
Zygion' R,-50.163979,95.76902,-149.36598
Alare' R,-12.6425,42.549099,-159.44501
Stomion',7.23347,34.6674,-179.82899
Otobasion Inferius' R,-46.731602,120.55,-173.084
Otobasion Inferius' L,73.858498,105.849,-175.308
Midsupraorbital' R,-23.437599,46.5933,-126.791
Frontozygomaticus' L,56.087299,53.289299,-125.082
Cheilion' L,26.500166,41.854462,-181.50841
Glabella,5.3537898,36.823101,-113.802
