lmk_name,x_coord,y_coord,z_coord
Supramentale',7.2109799,36.827801,-197.882
Pogonion,6.22123,35.752102,-207.32899
Tragion R,-49.720497,117.98132,-158.60303
Gnathion',6.2729998,37.530499,-215.901
Menton,7.7016702,42.739498,-220.967
Tragion L,65.008965,107.73914,-156.72664
Nasion',3.5341599,39.145802,-125.48
Glabella,3.29458,40.962399,-113.311
Pronasale',2.45842,22.026501,-154.661
Subnasale',3.9951999,32.864399,-168.925
Labiale Inferius',6.5055299,35.423302,-192.30499
Labiale Superius',3.48649,34.210701,-174.70399
Cheilion' R,-15.409147,47.064373,-184.69196
Cheilion' L,26.242533,43.953453,-183.54913
Alare' L,18.933977,40.381943,-161.60619
Alare' R,-13.1807,42.958599,-161.097
Endocanthion' L,16.64455,48.185131,-138.14851
Endocanthion' R,-9.0210695,51.226601,-139.241
Exocanthion' L,38.418907,53.398209,-139.22821
Exocanthion' R,-31.266438,59.143261,-140.33607
Midsupraorbital' L,31.0112,42.250599,-121.527
Midsupraorbital' R,-25.072201,47.935299,-126.799
Zygion' L,60.420986,80.024345,-155.48071
Gonion' R,-42.473,108.661,-195.496
Otobasion Inferius' L,62.361198,105.233,-170.399
Frontozygomaticus' L,49.172798,62.700001,-123.18
Frontozygomaticus' R,-42.519501,72.718597,-126.949
Frontotemporale' R,-30.018101,55.040798,-113.823
Zygion' R,-49.659901,92.253716,-150.89125
Gonion' L,57.035801,99.083504,-194.772
Otobasion Inferius' R,-47.500198,113.564,-172.649
Frontotemporale' L,38.8722,51.836899,-114.213
Stomion',6.17693,36.724602,-183.226
