lmk_name,x_coord,y_coord,z_coord
Tragion L,76.139816,106.08625,-157.75377
Tragion R,-49.801773,123.2445,-154.07561
Nasion',7.10992,34.7785,-119.291
Glabella,6.3645501,35.4217,-108.514
Pronasale',5.1069899,17.069799,-153.55499
Subnasale',6.2040801,29.9433,-169.186
Labiale Superius',6.3492198,30.933901,-176.299
Labiale Inferius',9.8307199,33.1856,-197.16
Stomion',9.7445297,34.565102,-188.323
Supramentale',10.3484,34.8619,-201.754
Pogonion,11.7602,32.111099,-217.39
Gnathion',11.608,35.341202,-225.57401
Menton,12.561,41.275101,-229.657
Cheilion' L,26.070377,39.726692,-187.93758
Cheilion' R,-12.859633,45.041042,-189.53398
Alare' L,22.207657,35.71859,-162.02264
Alare' R,-10.556,39.811699,-159.842
Endocanthion' L,20.707399,44.466,-133.547
Exocanthion' L,47.683907,48.965351,-135.68292
Endocanthion' R,-6.9769659,48.179638,-132.96677
Exocanthion' R,-30.505316,56.93206,-134.53862
Midsupraorbital' L,37.350399,36.886299,-117.528
Midsupraorbital' R,-22.498199,45.619701,-118.944
Frontozygomaticus' L,57.041199,53.6875,-119.382
Frontozygomaticus' R,-40.8592,69.611,-119.415
Frontotemporale' L,44.7304,42.990501,-108.789
Zygion' L,72.013618,82.129028,-148.43939
Gonion' L,66.3349,99.400101,-197.668
Gonion' R,-41.076401,111.264,-197.957
Zygion' R,-49.782501,93.096313,-147.05864
Otobasion Inferius' L,71.659935,102.95776,-176.82748
Frontotemporale' R,-27.6054,50.674702,-106.145
Otobasion Inferius' R,-47.235802,117.756,-171.679
