lmk_name,x_coord,y_coord,z_coord
Alare' L,26.923723,40.622723,-162.07076
Alare' R,-9.7248297,46.008999,-160.88
Cheilion' L,33.003868,48.95903,-191.52402
Cheilion' R,-11.902087,54.411377,-192.83841
Endocanthion' L,24.737354,49.587105,-133.45107
Endocanthion' R,-5.2831001,53.866501,-132.79201
Exocanthion' L,52.333622,53.947441,-134.13858
Exocanthion' R,-31.4937,64.460899,-136.11
Frontotemporale' L,48.996201,45.5061,-108.198
Frontotemporale' R,-27.347099,52.593201,-108.106
Frontozygomaticus' L,61.519001,56.423901,-117.868
Frontozygomaticus' R,-41.635899,73.2817,-119.127
Glabella,7.68325,38.0284,-109.18
Gnathion',12.6516,45.526501,-233.164
Gonion' L,75.7239,108.686,-199.097
Gonion' R,-43.886398,121.265,-199.118
Labiale Inferius',12.0375,41.226601,-203.576
Labiale Superius',10.3199,36.840801,-178.645
Menton,13.5459,52.041401,-238.577
Midsupraorbital' L,40.632301,40.613098,-118.546
Midsupraorbital' R,-21.5576,48.933701,-120.445
Nasion',8.94067,37.886501,-120.016
Otobasion Inferius' L,82.4944,116.524,-171.91499
Otobasion Inferius' R,-48.545101,131.745,-171.028
Pogonion,13.3241,42.954399,-224.536
Tragion L,85.361603,118.512,-152.845
Tragion R,-49.808937,133.04553,-151.37506
Pronasale',7.9973502,20.310699,-155.366
Stomion',11.472,42.739799,-193.957
Subnasale',9.9252396,34.8097,-171.07401
Supramentale',12.9587,43.360298,-208.65401
Zygion' L,79.838303,88.904404,-153.80099
Zygion' R,-51.389423,102.65251,-147.3606
