lmk_name,x_coord,y_coord,z_coord
Tragion L,70.244362,107.70114,-148.03813
Glabella,4.5239601,34.742298,-112.559
Tragion R,-45.60387,117.45082,-152.87216
Pronasale',7.2487254,20.195896,-165.7739
Nasion',5.3772602,34.4296,-124.238
Subnasale',8.6128159,31.326757,-175.48872
Labiale Superius',10.631731,33.57402,-180.69565
Stomion',10.313021,33.460106,-187.97659
Labiale Inferius',12.1387,32.771,-192.17799
Pogonion,13.6816,39.425301,-206.813
Cheilion' L,27.333427,39.816158,-187.39377
Cheilion' R,-7.2863188,42.851593,-191.03409
Endocanthion' L,21.2451,44.764099,-136.73599
Frontozygomaticus' R,-41.033401,70.208504,-126.381
Frontotemporale' L,40.393002,46.384102,-106.016
Midsupraorbital' R,-24.451,44.865002,-125.697
Zygion' L,64.009254,83.368095,-135.41637
Supramentale',12.4985,37.892899,-196.755
Gnathion',14.7079,42.0499,-214.017
Menton,15.5033,46.8881,-217.543
Alare' R,-8.2835426,41.275085,-171.13826
Alare' L,22.988064,37.308159,-167.81551
Exocanthion' L,43.74876,48.682713,-135.14696
Endocanthion' R,-10.073738,47.851933,-138.02705
Exocanthion' R,-29.85792,55.595299,-142.53886
Frontozygomaticus' L,51.7099,57.803902,-114.869
Frontotemporale' R,-29.861799,50.383301,-113.562
Midsupraorbital' L,35.2603,37.826599,-116.655
Zygion' R,-45.080475,87.627281,-148.42717
Gonion' R,-32.056198,111.877,-189.127
Gonion' L,59.4468,100.652,-182.968
Otobasion Inferius' R,-40.14362,113.93658,-171.23773
Otobasion Inferius' L,64.508438,103.41149,-167.62906
