lmk_name,x_coord,y_coord,z_coord
Glabella,7.2214198,40.871101,-110.087
Labiale Inferius',9.5100803,41.276402,-206.49899
Alare' L,24.984608,41.793747,-162.73125
Exocanthion' R,-32.912518,60.088558,-136.44788
Midsupraorbital' L,39.356701,45.296398,-117.689
Frontotemporale' L,47.122898,51.863899,-108.235
Gonion' R,-46.187599,119.103,-200.047
Pronasale',7.4963298,21.5189,-155.877
Subnasale',8.2828798,34.940201,-169.944
Labiale Superius',8.5923405,36.521599,-177.168
Menton,10.1211,52.475498,-237.218
Cheilion' L,27.831999,49.723099,-191.68388
Midsupraorbital' R,-23.417101,49.598202,-120.529
Frontozygomaticus' L,58.292999,61.974098,-117.746
Otobasion Inferius' R,-53.139854,123.15987,-178.0392
Tragion R,-55.480709,127.74949,-158.32854
Gnathion',9.4809799,45.8922,-233.304
Endocanthion' R,-10.162666,53.148193,-134.39937
Otobasion Inferius' L,72.258102,115.615,-176.38499
Tragion L,76.530533,119.11903,-156.16216
Nasion',8.2526102,40.2826,-121.281
Stomion',12.1745,42.897301,-188.215
Endocanthion' L,25.445086,49.906345,-134.28836
Exocanthion' L,49.463425,55.227085,-134.32387
Gonion' L,64.729401,109.288,-200.30701
Supramentale',10.0122,44.140598,-210.761
Pogonion,9.6692495,43.103199,-224.09599
Alare' R,-10.375521,42.747566,-161.28958
Frontotemporale' R,-28.616899,54.344101,-108.453
Zygion' L,72.016731,87.959297,-142.4109
Cheilion' R,-16.17079,53.501419,-193.36745
Frontozygomaticus' R,-43.083199,71.405403,-120.173
Zygion' R,-54.969261,101.52808,-145.85255
