lmk_name,x_coord,y_coord,z_coord
Alare' L,25.548548,47.057819,-164.25172
Alare' R,-10.60229,51.200157,-164.84561
Cheilion' L,29.757132,57.340176,-193.17908
Cheilion' R,-13.300742,61.594383,-193.97229
Endocanthion' L,25.778999,54.369278,-137.2312
Endocanthion' R,-7.6572576,58.243504,-136.431
Exocanthion' L,51.176556,59.514767,-138.29358
Exocanthion' R,-31.524452,66.607025,-136.92972
Frontotemporale' L,48.3438,49.794998,-113.436
Frontotemporale' R,-28.315201,55.5457,-112.153
Frontozygomaticus' L,60.207699,61.332001,-121.538
Frontozygomaticus' R,-42.291801,75.804703,-121.889
Glabella,7.5599399,41.108898,-114.439
Labiale Inferius',10.9207,49.5112,-206.19501
Labiale Superius',9.04984,44.396198,-181.69299
Midsupraorbital' L,40.056599,44.394901,-123.495
Midsupraorbital' R,-22.779499,52.448002,-125.173
Nasion',8.5556402,41.534302,-125.314
Otobasion Inferius' L,77.860497,123.012,-172.245
Otobasion Inferius' R,-50.063301,135.65401,-168.858
Tragion L,80.879593,123.71326,-153.94951
Tragion R,-52.277302,139.067,-148.53
Pronasale',7.35181,26.8225,-159.129
Stomion',12.0359,51.1661,-196.591
Subnasale',7.2554898,38.601063,-171.1651
Zygion' L,76.25016,94.424973,-151.11377
Zygion' R,-52.427322,105.51981,-144.81384
