lmk_name,x_coord,y_coord,z_coord
Glabella,7.9548802,44.5364,-109.68
Gnathion',17.560699,45.805901,-227.651
Menton,19.830601,53.232399,-232.258
Pogonion,17.3288,42.1609,-218.909
Endocanthion' L,27.55464,55.569862,-134.74239
Tragion L,81.002266,123.97185,-157.51086
Tragion R,-52.2728,136.51801,-159.896
Nasion',9.6073503,43.6521,-122.198
Subnasale',10.505362,33.26685,-175.93921
Exocanthion' R,-29.852289,65.960701,-138.3871
Pronasale',10.5554,22.0109,-160.02299
Labiale Superius',10.369606,35.263294,-187.5618
Stomion',13.329473,36.679882,-194.36256
Labiale Inferius',15.2563,36.222801,-202.37601
Cheilion' L,34.161404,44.974163,-194.55525
Cheilion' R,-7.8592062,47.302944,-198.01462
Alare' L,26.832644,42.673237,-166.4635
Alare' R,-6.3605895,44.752373,-169.04117
Exocanthion' L,52.540035,61.694168,-135.57927
Endocanthion' R,-8.3750553,59.533852,-135.72119
Frontotemporale' L,48.743198,55.172699,-107.487
Frontotemporale' R,-28.969801,59.251202,-110.249
Frontozygomaticus' L,60.961102,66.8703,-117.638
Frontozygomaticus' R,-43.000401,78.886101,-124.524
Midsupraorbital' L,40.680698,49.813599,-117.785
Midsupraorbital' R,-22.783501,55.664398,-122.173
Supramentale',15.7988,41.3582,-207.32401
Zygion' L,75.682098,96.057899,-152.877
Zygion' R,-50.674934,102.83009,-154.41075
Gonion' L,69.921501,112.04,-198.06
Gonion' R,-38.536201,119.464,-203.69299
