lmk_name,x_coord,y_coord,z_coord
Alare' L,30.549839,46.960388,-162.9292
Alare' R,-6.0652742,47.705593,-159.63245
Cheilion' L,37.177849,57.735153,-191.38419
Cheilion' R,-8.9565849,60.856201,-194.15308
Endocanthion' L,28.951679,55.253239,-132.98746
Endocanthion' R,-6.166276,57.911324,-133.29382
Exocanthion' L,56.805767,62.347885,-132.20421
Exocanthion' R,-31.635263,66.321556,-136.21442
Frontotemporale' L,53.019501,54.563301,-105.339
Frontotemporale' R,-27.0888,56.665298,-106.073
Frontozygomaticus' L,64.891197,66.188301,-115.779
Frontozygomaticus' R,-42.635899,75.1017,-119.532
Glabella,10.3336,43.4776,-108.321
Gnathion',19.927401,50.918598,-234.93401
Gonion' L,75.723999,116.593,-200.459
Gonion' R,-44.976799,123.282,-201.366
Labiale Inferius',18.413601,48.0541,-205.711
Labiale Superius',13.8688,43.151501,-177.918
Menton,21.0898,57.6101,-239.97501
Midsupraorbital' L,43.6092,48.4888,-116.138
Midsupraorbital' R,-20.937099,52.727299,-118.861
Nasion',11.7497,43.608601,-119.633
Otobasion Inferius' L,82.005569,126.80828,-171.89587
Otobasion Inferius' R,-51.609901,133.936,-175.49001
Pogonion,19.939899,48.998402,-226.37801
Tragion L,84.683136,129.36293,-151.0089
Tragion R,-54.46125,136.5144,-153.25578
Pronasale',12.3629,25.201401,-155.591
Stomion',19.7609,46.903599,-188.035
Subnasale',12.360167,38.663673,-169.72595
Supramentale',18.8274,50.433899,-210.86501
Zygion' L,79.491203,95.068916,-148.07791
Zygion' R,-52.785599,102.978,-157.864
