lmk_name,x_coord,y_coord,z_coord
Alare' L,24.681715,43.28566,-166.76683
Alare' R,-13.750671,46.736233,-165.13625
Cheilion' L,29.102177,51.057407,-191.87093
Cheilion' R,-16.563562,53.400391,-188.72623
Endocanthion' L,24.820387,49.525936,-140.78326
Endocanthion' R,-8.6364002,54.924198,-141.132
Exocanthion' L,52.160954,55.43692,-141.50797
Exocanthion' R,-36.758301,65.341797,-141.92101
Frontotemporale' L,48.8573,46.626499,-117.375
Frontotemporale' R,-30.189501,53.540901,-113.699
Frontozygomaticus' L,60.983101,57.514801,-126.846
Frontozygomaticus' R,-47.0783,73.229897,-125.058
Glabella,5.9440999,38.981098,-116.956
Gnathion',6.03304,43.246101,-230.013
Gonion' L,72.285202,112.843,-206.83
Gonion' R,-52.643902,125.319,-202.95599
Labiale Inferius',5.3102303,40.178371,-197.47968
Labiale Superius',7.0821099,40.269001,-182.209
Menton,6.10113,50.299801,-234.578
Midsupraorbital' L,38.9944,41.9174,-127.311
Midsupraorbital' R,-25.6049,49.877899,-128.44901
Nasion',6.7747698,39.6194,-128.45
Otobasion Inferius' L,79.769096,122.374,-180.377
Otobasion Inferius' R,-55.487,136.256,-175.651
Pogonion,5.6421518,39.392311,-217.29254
Tragion L,84.620499,124.518,-160.478
Tragion R,-57.0392,138.993,-153.76801
Pronasale',5.2242699,22.830799,-162.14999
Stomion',7.81107,40.953098,-191.85001
Subnasale',6.5873399,37.913898,-175.651
Supramentale',5.2427931,40.394917,-211.20862
Zygion' L,79.272202,90.988899,-161.627
Zygion' R,-59.160969,109.80966,-147.00165
