lmk_name,x_coord,y_coord,z_coord
Alare' L,29.967922,42.300598,-165.37787
Alare' R,-9.7888527,43.219479,-165.75322
Cheilion' L,34.006737,48.61953,-198.60196
Cheilion' R,-11.952435,52.718918,-200.63852
Endocanthion' L,27.2234,51.6763,-129.34
Endocanthion' R,-9.7877703,55.470001,-131.496
Exocanthion' L,56.606701,60.148602,-129.29401
Exocanthion' R,-36.5247,66.301102,-134.201
Frontotemporale' L,49.955502,50.454201,-103.86
Frontotemporale' R,-32.810902,54.047699,-103.404
Frontozygomaticus' L,61.387901,61.650299,-112.237
Frontozygomaticus' R,-45.983002,74.998596,-119.381
Glabella,5.6768699,40.773399,-104.152
Gnathion',13.373646,53.24445,-240.51518
Gonion' L,72.695702,115.296,-196.89999
Labiale Inferius',12.449958,40.097641,-211.31229
Labiale Superius',12.2426,35.229,-186.483
Menton,12.516959,63.389385,-244.47095
Midsupraorbital' L,40.5271,47.579601,-111.314
Midsupraorbital' R,-24.5581,53.452999,-114.934
Nasion',7.5745802,41.2033,-117.171
Otobasion Inferius' L,80.860497,125.158,-168.40401
Otobasion Inferius' R,-48.5555,136.798,-173.282
Pogonion,12.384036,47.206299,-232.08418
Pronasale',8.8400898,20.180799,-158.57899
Stomion',12.5736,41.3969,-198.714
Subnasale',12.4389,34.044102,-175.87601
Supramentale',12.644938,45.512104,-220.18304
Zygion' L,78.200104,92.252403,-149.53799
Zygion' R,-51.682999,104.039,-157.827
