lmk_name,x_coord,y_coord,z_coord
Nasion',2.7056999,43.101799,-108.833
Glabella,1.7741801,44.167099,-98.216003
Tragion L,81.3153,118.305,-142.252
Pronasale',4.9563498,15.7832,-146.82001
Subnasale',5.8896399,31.3403,-163.911
Labiale Superius',5.8092098,31.3188,-171.629
Stomion',9.4533396,35.994801,-185.80701
Labiale Inferius',11.4247,34.677799,-197.29601
Supramentale',12.6032,40.034199,-203.57201
Cheilion' L,29.576117,41.77359,-182.11044
Alare' L,21.413372,39.851097,-155.31732
Midsupraorbital' R,-26.212099,53.576,-115.864
Frontozygomaticus' L,56.548901,62.294701,-105.668
Frontotemporale' L,42.804699,53.195801,-95.6679
Pogonion,13.4047,40.758701,-218.614
Gnathion',15.0648,42.611401,-227.05299
Exocanthion' L,47.012093,58.382797,-121.61781
Endocanthion' R,-9.1230288,56.720867,-125.33003
Zygion' L,75.988602,89.001999,-141.842
Menton,16.4743,48.858898,-232.455
Exocanthion' R,-35.270901,68.590202,-132.924
Alare' R,-7.9574199,42.616001,-156.558
Frontozygomaticus' R,-47.951698,76.309303,-119.83
Frontotemporale' R,-33.551201,56.2206,-106.352
Endocanthion' L,20.4916,56.056499,-122.531
Gonion' L,71.078697,102.333,-185.842
Midsupraorbital' L,34.614201,48.8894,-105.251
