lmk_name,x_coord,y_coord,z_coord
Glabella,8.5993099,46.647701,-109.347
Tragion L,80.255997,129.638,-160.466
Alare' L,24.094753,44.729397,-167.12926
Nasion',8.6610203,45.923698,-119.951
Pronasale',10.1066,19.4014,-158.10201
Alare' R,-6.1932702,45.4674,-166.702
Endocanthion' L,25.6108,60.710098,-134.92
Subnasale',8.4506102,34.689999,-173.537
Labiale Superius',8.4889002,33.8069,-180.82401
Stomion',9.3488398,37.997601,-195.394
Labiale Inferius',8.9779997,38.381302,-207.255
Cheilion' L,29.372753,48.761276,-193.28598
Exocanthion' L,55.5527,67.3554,-135.22
Endocanthion' R,-5.0840926,59.486828,-136.23126
Exocanthion' R,-32.1465,70.898201,-139.464
Midsupraorbital' L,41.251801,54.304798,-114.588
Midsupraorbital' R,-22.6973,55.906502,-121.506
Frontotemporale' L,51.045101,60.0172,-106.113
Frontotemporale' R,-29.3419,59.135799,-110.554
Frontozygomaticus' L,62.889999,69.688797,-117.757
Frontozygomaticus' R,-45.201,77.7117,-124.618
Otobasion Inferius' L,73.3246,122.62,-182.689
Zygion' L,76.232201,96.782799,-157.14999
