lmk_name,x_coord,y_coord,z_coord
Tragion L,78.410103,122.18,-149.399
Nasion',9.1511497,41.0844,-113.75
Glabella,8.9323196,41.521702,-102.867
Subnasale',8.8541098,31.322901,-169.54201
Pronasale',10.085,14.3561,-154.55901
Labiale Superius',8.9343395,29.695801,-177.935
Stomion',10.7497,36.2682,-192.528
Labiale Inferius',11.6378,34.698299,-203.864
Supramentale',11.7405,40.758999,-209.783
Pogonion,11.2992,42.330799,-225.20599
Menton,12.663,51.6619,-239.785
Gnathion',12.1573,44.892502,-234.00999
Cheilion' L,27.023336,43.810612,-191.459
Alare' L,22.971163,40.855045,-162.26797
Alare' R,-4.8585114,41.03994,-163.3105
Endocanthion' L,24.856199,55.288502,-128.679
Exocanthion' L,48.735729,58.153168,-128.66003
Endocanthion' R,-6.6905398,55.782001,-128.862
Exocanthion' R,-32.327999,64.055199,-132.886
Midsupraorbital' L,39.828602,47.865898,-112.865
Midsupraorbital' R,-21.5741,49.908001,-117.277
Frontozygomaticus' L,60.744801,63.401501,-114.755
Frontozygomaticus' R,-43.717899,71.119797,-118.408
Frontotemporale' L,48.833698,53.002499,-104.604
Frontotemporale' R,-28.2006,52.523499,-106.415
Zygion' L,74.781303,92.774902,-150.517
Gonion' L,66.622704,107.963,-193.36
Otobasion Inferius' L,72.397697,117.447,-172.53799
