lmk_name,x_coord,y_coord,z_coord
Tragion L,89.001297,119.345,-143.842
Otobasion Inferius' L,83.613998,116.758,-167.019
Tragion R,-36.901798,144.979,-150.71001
Otobasion Inferius' R,-31.828199,140.89,-172.67999
Gonion' R,-26.364401,130.73199,-196.38499
Gonion' L,78.249901,107.829,-191.55
Frontotemporale' L,47.558899,45.7724,-100.201
Frontotemporale' R,-30.6854,58.438202,-106.552
Frontozygomaticus' L,62.122101,55.652699,-110.441
Frontozygomaticus' R,-41.3507,81.944603,-117.928
Endocanthion' R,-5.2759099,59.324799,-131.10699
Endocanthion' L,22.596575,52.080627,-131.13824
Midsupraorbital' L,37.765099,42.707199,-109.776
Midsupraorbital' R,-22.337099,56.994499,-116.875
Exocanthion' R,-29.624001,72.542999,-133.10899
Exocanthion' L,52.772888,55.853344,-128.48703
Glabella,4.8120999,40.1782,-105.861
Nasion',5.69029,40.842899,-117.576
Pronasale',5.1641598,16.1812,-160.239
Alare' R,-5.4616671,47.912479,-170.74663
Alare' L,23.314508,42.423462,-169.51637
Cheilion' L,33.775852,49.098133,-195.93588
Cheilion' R,-8.6165638,56.93045,-197.54984
Stomion',10.2997,39.6063,-195.366
Subnasale',7.2714601,32.7397,-176.07899
Labiale Superius',9.0018902,35.321201,-185.235
Labiale Inferius',12.6237,38.374199,-206.72
Pogonion,16.430599,46.273701,-226.771
Gnathion',16.231501,50.552898,-234.67101
Menton,18.2283,57.1213,-240.638
