lmk_name,x_coord,y_coord,z_coord
Alare' L,22.151014,41.78194,-165.233
Labiale Inferius',9.0162497,44.313,-208.04201
Exocanthion' L,49.281151,52.434841,-131.17764
Endocanthion' L,25.5233,51.818699,-131.64799
Tragion L,86.085197,114.151,-145.04401
Endocanthion' R,-5.08705,55.641998,-130.627
Nasion',7.7770901,37.9753,-118.501
Subnasale',6.8333602,35.678398,-173.556
Exocanthion' R,-31.3319,68.2528,-134.338
Pronasale',6.1032801,16.8543,-161.07401
Midsupraorbital' L,39.641102,41.227901,-116.338
Frontotemporale' L,49.133598,44.257301,-108.022
Frontotemporale' R,-28.179899,52.195499,-110.397
Frontozygomaticus' R,-41.503399,73.543198,-119
Zygion' L,79.756599,85.955597,-148.87399
Alare' R,-6.3157072,45.065113,-166.49756
Stomion',9.6838598,44.3955,-196.548
Otobasion Inferius' L,79.503403,112.953,-168.30701
Midsupraorbital' R,-21.186199,49.789501,-120.366
Frontozygomaticus' L,62.1637,54.788601,-116.363
Cheilion' L,28.819839,49.285946,-192.47221
Glabella,7.6206999,37.295799,-107.82
