lmk_name,x_coord,y_coord,z_coord
Tragion L,80.653999,125.778,-150.797
Nasion',8.5979099,45.085701,-113.463
Glabella,8.4776201,45.987999,-102.568
Pronasale',9.0194902,16.7582,-152.403
Subnasale',6.6988292,30.593988,-165.3708
Labiale Superius',8.1290102,30.739201,-175.745
Labiale Inferius',10.4782,34.255299,-205.608
Stomion',9.6019802,35.429501,-193.689
Supramentale',10.6381,42.377499,-212.19299
Pogonion,6.8313894,42.198612,-227.43979
Gnathion',6.0731945,44.855984,-234.42026
Menton,7.3049421,54.433994,-241.06628
Cheilion' L,26.750877,41.522636,-191.57954
Alare' L,22.112782,42.734505,-163.74756
Alare' R,-5.6002588,43.733974,-162.05191
Endocanthion' L,25.092899,58.441101,-128.493
Exocanthion' L,48.896973,61.84687,-129.09418
Endocanthion' R,-6.8600602,60.037498,-128.819
Exocanthion' R,-32.492802,69.545403,-133.252
Midsupraorbital' L,39.5308,51.3787,-111.83
Midsupraorbital' R,-22.1276,54.204102,-116.622
Frontozygomaticus' L,61.401402,67.143501,-114.512
Frontozygomaticus' R,-43.779598,76.913696,-118.449
Frontotemporale' L,48.738201,56.768101,-103.663
Zygion' L,76.242699,93.616699,-151.241
Gonion' L,68.900597,109.002,-195.04401
Otobasion Inferius' L,75.269897,119.222,-172.14101
Frontotemporale' R,-28.4083,57.644299,-106.678
