lmk_name,x_coord,y_coord,z_coord
Pogonion,13.1447,44.1833,-226.571
Menton,14.2731,52.740101,-239.92999
Glabella,10.1191,42.421299,-104.599
Tragion L,81.707199,125.231,-150.845
Nasion',10.3568,42.1875,-115.49
Labiale Superius',8.7535782,33.03548,-180.78603
Stomion',12.4016,39.5937,-194.26801
Labiale Inferius',11.8985,38.720001,-205.783
Cheilion' L,31.583477,45.921825,-189.25459
Subnasale',8.9021578,31.713234,-167.95065
Pronasale',10.305824,18.344381,-151.89842
Alare' L,24.658237,41.710068,-163.4931
Alare' R,-3.8523977,40.955044,-165.15985
Endocanthion' L,24.730175,56.441925,-129.32607
Exocanthion' L,52.561516,62.058952,-131.52861
Endocanthion' R,-5.7171102,58.285599,-130.451
Exocanthion' R,-31.3388,67.506401,-134.15601
Frontotemporale' L,51.089802,53.8965,-105.808
Frontotemporale' R,-27.008301,53.830002,-107.967
Frontozygomaticus' R,-43.181198,73.661301,-119.793
Frontozygomaticus' L,63.348701,64.819901,-115.368
Zygion' L,78.116898,95.129501,-152.172
Otobasion Inferius' L,75.221298,120.524,-174.10899
Midsupraorbital' L,41.709301,48.913399,-113.373
Midsupraorbital' R,-20.152399,51.912998,-119.013
Supramentale',13.8168,43.808201,-211.535
Gnathion',13.8419,46.1763,-234.838
Gonion' L,69.086601,110.303,-194.35001
