lmk_name,x_coord,y_coord,z_coord
Tragion L,79.3377,122.59478,-164.38417
Glabella,10.1191,42.421299,-104.599
Pronasale',8.1647558,16.470724,-149.59546
Nasion',10.3568,42.1875,-115.49
Subnasale',8.073945,28.590836,-164.79736
Labiale Superius',8.1016607,27.708309,-176.80684
Stomion',12.4016,39.5937,-194.26801
Labiale Inferius',11.8985,38.720001,-205.783
Pogonion,13.1447,44.1833,-226.571
Cheilion' L,29.321836,40.288029,-190.56238
Endocanthion' L,22.957621,57.230198,-131.83092
Frontozygomaticus' R,-43.181198,73.661301,-119.793
Frontotemporale' L,51.089802,53.8965,-105.808
Midsupraorbital' R,-20.152399,51.912998,-119.013
Zygion' L,78.116898,95.129501,-152.172
Supramentale',13.8168,43.808201,-211.535
Gnathion',13.8419,46.1763,-234.838
Menton,14.2731,52.740101,-239.92999
Alare' R,-5.2971992,39.479816,-162.0798
Alare' L,23.803896,41.161659,-161.28886
Exocanthion' L,50.602207,63.714844,-133.44232
Endocanthion' R,-5.7171102,58.285599,-130.451
Exocanthion' R,-31.3388,67.506401,-134.15601
Frontozygomaticus' L,63.348701,64.819901,-115.368
Frontotemporale' R,-27.008301,53.830002,-107.967
Midsupraorbital' L,41.709301,48.913399,-113.373
Gonion' L,63.416451,100.39501,-208.76282
Otobasion Inferius' L,71.793625,113.92121,-185.88315
