lmk_name,x_coord,y_coord,z_coord
Glabella,8.3077698,46.5205,-106.498
Labiale Inferius',9.9110804,39.1982,-206.405
Alare' L,21.195129,43.367508,-166.96162
Exocanthion' R,-33.045601,68.510399,-136.026
Midsupraorbital' L,40.242298,52.603298,-115.652
Frontotemporale' L,49.0359,57.176201,-107.116
Pronasale',8.4195004,19.8934,-155.838
Subnasale',5.3983164,33.78088,-171.18744
Labiale Superius',6.37568,35.120899,-180.707
Menton,12.1719,54.943802,-243.13499
Midsupraorbital' R,-21.7012,55.226398,-120.152
Frontozygomaticus' L,61.5868,67.394997,-118.266
Gnathion',11.3052,48.2785,-237.37801
Endocanthion' R,-6.3215799,59.952301,-132.123
Otobasion Inferius' L,72.242302,118.336,-177.72099
Tragion L,78.823799,123.997,-156.05901
Nasion',8.4257898,45.812698,-117.345
Stomion',9.1728601,40.920601,-194.94901
Endocanthion' L,25.0084,59.113098,-133.033
Exocanthion' L,50.245571,62.871555,-133.53902
Gonion' L,65.686897,108.978,-198.937
Supramentale',10.3559,44.494499,-212.925
Pogonion,10.2952,45.8992,-228.53999
Alare' R,-6.7790298,45.333801,-165.16
Frontotemporale' R,-29.299801,58.059601,-109.146
Zygion' L,75.960899,95.491302,-155.72701
Frontozygomaticus' R,-44.951599,76.623901,-122.08
