lmk_name,x_coord,y_coord,z_coord
Subnasale',6.4971199,35.879398,-174.62199
Pronasale',7.8650498,19.691799,-158.298
Tragion L,80.040398,114.73476,-157.18275
Tragion R,-47.426434,126.24824,-155.43484
Nasion',9.6346903,42.643902,-118.403
Alare' L,21.388699,43.094788,-167.89636
Alare' R,-6.1518898,45.679249,-168.53157
Labiale Superius',5.78476,34.6017,-183.964
Stomion',7.8765001,43.2841,-198.91701
Labiale Inferius',8.1723604,41.473099,-210.104
Exocanthion' L,50.955612,57.244896,-134.41609
Endocanthion' L,25.8319,55.549099,-132.959
Endocanthion' R,-4.5841298,57.495201,-132.145
Exocanthion' R,-30.9266,67.536598,-135.22
Midsupraorbital' L,41.330101,47.7925,-117.541
Midsupraorbital' R,-20.134899,52.618801,-120.268
Frontotemporale' R,-25.868601,55.135502,-109.648
Frontotemporale' L,50.948898,52.405899,-108.84
Frontozygomaticus' R,-40.841,74.703796,-119.809
Frontozygomaticus' L,62.7346,62.611599,-119.563
Cheilion' L,25.727745,45.418175,-197.66682
Otobasion Inferius' R,-44.318501,125.413,-171.662
Otobasion Inferius' L,74.277397,114.615,-176.064
Zygion' L,77.217201,93.286201,-153.66499
Glabella,9.8141098,42.762501,-107.353
Zygion' R,-50.7281,106.121,-154.49699
