lmk_name,x_coord,y_coord,z_coord
Glabella,9.6886797,42.991901,-106.889
Gnathion',11.7703,43.823799,-236.8
Menton,12.272,50.5499,-242.2
Pogonion,11.2016,41.791801,-230.192
Endocanthion' L,27.1353,56.464199,-132.00101
Tragion L,82.012703,123.226,-153.411
Tragion R,-52.285374,125.51667,-155.59355
Nasion',10.7633,42.584599,-117.613
Subnasale',7.4830079,32.067642,-170.02699
Exocanthion' R,-31.7642,66.550598,-136.006
Pronasale',10.643,18.015499,-155.521
Labiale Superius',7.9313455,32.397373,-183.46513
Stomion',10.8553,38.355701,-195.00301
Labiale Inferius',10.0908,37.005299,-206.508
Cheilion' L,28.153839,46.311951,-192.58353
Alare' L,24.394169,41.912678,-164.83736
Alare' R,-4.6791263,41.359894,-165.97945
Exocanthion' L,51.02195,59.94281,-132.65973
Endocanthion' R,-4.1058989,55.86414,-133.2657
Frontotemporale' L,51.0737,53.869099,-107.693
Frontotemporale' R,-26.710501,53.625198,-110.734
Frontozygomaticus' L,63.828899,64.708199,-118.215
Frontozygomaticus' R,-42.7183,72.684196,-121.238
Midsupraorbital' L,42.5783,49.239601,-115.709
Midsupraorbital' R,-20.1849,51.305599,-121.238
Supramentale',11.7815,41.963402,-212.465
Zygion' L,78.782204,92.5168,-155.354
Zygion' R,-54.658298,101.896,-158.705
Gonion' L,69.511597,107.859,-197.812
Gonion' R,-42.514801,115.117,-197.673
