lmk_name,x_coord,y_coord,z_coord
Tragion L,79.171349,125.40503,-161.40277
Pronasale',9.8080397,25.1703,-152.162
Labiale Superius',7.7829299,37.3372,-178.703
Supramentale',10.1023,48.113499,-213.724
Tragion R,-49.427856,134.6273,-159.69609
Nasion',10.5844,52.947399,-115.551
Stomion',9.3780499,44.0144,-196.42999
Subnasale',6.853735,37.99165,-167.68573
Glabella,10.7166,54.282398,-104.828
Labiale Inferius',9.9842596,42.197601,-207.80901
Gnathion',11.839,51.1283,-234.731
Pogonion,10.9887,49.9921,-226.446
Menton,12.5158,57.172298,-241.451
Cheilion' L,26.442537,47.593552,-193.84126
Alare' L,21.582203,47.323116,-165.36302
Alare' R,-4.611968,49.840523,-164.93034
Endocanthion' L,26.257,65.042099,-131.80299
Exocanthion' L,50.050755,67.429306,-132.71451
Endocanthion' R,-3.81127,66.290398,-130.83
Exocanthion' R,-30.652599,75.248703,-135.05099
Midsupraorbital' L,41.812302,59.156799,-114.672
Midsupraorbital' R,-19.9002,61.8675,-117.869
Frontozygomaticus' L,62.351101,73.625504,-118.682
Frontozygomaticus' R,-40.764702,83.050003,-120.999
Frontotemporale' L,51.209301,65.1371,-106.825
Frontotemporale' R,-25.6912,65.561996,-108.363
Zygion' L,76.020401,100.419,-155.62399
Zygion' R,-51.254101,111.296,-157.713
Gonion' L,66.001999,112.612,-199.427
Gonion' R,-38.7771,120.56,-198.23399
Otobasion Inferius' R,-45.103298,128.144,-178.05499
Otobasion Inferius' L,72.8769,121.541,-180.57401
