lmk_name,x_coord,y_coord,z_coord
Tragion L,80.3442,124.123,-152.511
Nasion',8.6203499,42.263302,-117.097
Glabella,8.8091602,42.388599,-106.611
Labiale Superius',6.1531,34.697201,-180.71001
Cheilion' L,26.087387,47.448536,-192.08202
Exocanthion' L,48.302044,60.227692,-133.82053
Frontotemporale' L,49.577801,53.2085,-107.476
Frontotemporale' R,-29.0882,53.764999,-109.014
Gonion' R,-45.232601,119.17,-192.89101
Tragion R,-54.778713,127.53554,-150.54663
Subnasale',6.5121999,35.511002,-172.407
Stomion',8.21175,41.228802,-193.883
Supramentale',8.9055595,47.431198,-211.573
Pogonion,8.05299,47.702599,-227.953
Gnathion',8.5406103,50.979099,-235.425
Alare' L,22.204041,44.19474,-165.98181
Alare' R,-7.9313369,45.487713,-166.07738
Endocanthion' R,-6.5260501,57.878399,-130.64301
Exocanthion' R,-30.883497,65.873962,-134.30743
Frontozygomaticus' R,-45.157799,72.998497,-118.969
Midsupraorbital' L,40.545601,48.790798,-116.555
Midsupraorbital' R,-22.9112,51.350101,-119.221
Zygion' R,-57.174,104.088,-154.578
Gonion' L,66.188797,111.015,-196.09801
Otobasion Inferius' R,-50.992802,126.817,-170.843
Labiale Inferius',8.7690296,40.787201,-206.32401
Menton,8.8951502,56.086399,-238.326
Frontozygomaticus' L,62.217999,64.292999,-118.469
Pronasale',8.0404301,17.8743,-159.12199
Endocanthion' L,22.312954,56.033241,-132.20097
Zygion' L,76.360199,93.516701,-154.94299
Otobasion Inferius' L,72.681198,120.068,-175.27699
