lmk_name,x_coord,y_coord,z_coord
Subnasale',8.9374199,37.723,-173.82899
Nasion',10.7384,50.047501,-118.864
Tragion L,82.7668,130.37399,-160.996
Tragion R,-51.420601,138.786,-161.11301
Glabella,10.7436,50.940102,-108.321
Pronasale',10.9236,22.893499,-157.14
Labiale Superius',9.72437,37.3041,-182.002
Stomion',10.0334,42.0056,-196.355
Labiale Inferius',10.5975,41.117901,-208.093
Supramentale',12.2904,48.351601,-214.854
Menton,12.734,54.3988,-241.409
Endocanthion' R,-4.1305099,64.6717,-134.18401
Exocanthion' R,-30.905399,73.471001,-137.94501
Midsupraorbital' L,42.327,56.993401,-117.112
Zygion' R,-52.728401,107.605,-160.905
Pogonion,11.6208,46.901798,-229.345
Gnathion',12.1986,48.326199,-235.881
Cheilion' L,29.486845,48.344051,-195.20827
Alare' L,24.449343,47.218468,-168.29828
Alare' R,-4.6771069,48.20034,-167.55247
Endocanthion' L,26.99,64.182899,-134.259
Exocanthion' L,52.749409,67.292664,-135.82516
Midsupraorbital' R,-19.432699,59.251499,-121.015
Frontozygomaticus' L,64.3106,72.351402,-120.093
Frontozygomaticus' R,-42.4356,81.394096,-123.961
Frontotemporale' L,52.038898,62.354801,-109.016
Frontotemporale' R,-26.681999,62.846802,-110.997
Zygion' L,78.525703,99.183098,-158.51601
Gonion' L,69.737602,112.41,-202.45799
Otobasion Inferius' L,76.064301,124.183,-182.106
Otobasion Inferius' R,-47.5769,130.84801,-181.446
