lmk_name,x_coord,y_coord,z_coord
Nasion',9.0458403,38.974098,-123.908
Glabella,7.50425,38.725899,-112.015
Pronasale',9.7514896,24.476101,-159.061
Subnasale',9.7153702,34.5466,-173.189
Labiale Superius',10.59,34.2976,-180.416
Stomion',12.627,34.712601,-190.55499
Labiale Inferius',13.1199,35.107399,-200.81
Supramentale',13.8691,36.367401,-206.755
Cheilion' L,22.164663,36.192909,-191.63461
Alare' L,24.1089,35.02,-162.252
Midsupraorbital' R,-19.6562,50.989799,-121.297
Frontozygomaticus' L,44.422508,42.985836,-127.015
Frontotemporale' L,41.042999,42.716999,-113.794
Gonion' R,-39.876801,81.7827,-206.349
Pogonion,13.8364,36.406898,-220.05299
Gnathion',13.8059,38.671902,-227.339
Exocanthion' L,46.902302,49.933498,-136.067
Endocanthion' R,-5.9959798,51.396,-136.146
Menton,13.4783,43.837299,-232.496
Exocanthion' R,-30.5298,63.116798,-137.08501
Cheilion' R,-10.156187,47.934078,-192.24474
Alare' R,-7.85777,45.6143,-162.89
Frontozygomaticus' R,-40.696098,70.289902,-122.813
Frontotemporale' R,-25.730301,53.855301,-110.591
Endocanthion' L,22.2761,45.195099,-136.629
Gonion' L,61.744701,72.765297,-203.94701
Midsupraorbital' L,33.810398,39.390099,-122.061
