lmk_name,x_coord,y_coord,z_coord
Glabella,12.0863,38.651501,-111.69
Alare' L,25.248699,37.611401,-163.85001
Nasion',12.6399,40.541199,-122.075
Pronasale',9.9788799,22.255899,-158.209
Alare' R,-7.52071,40.927399,-162.91499
Endocanthion' L,22.663252,47.745586,-132.14944
Subnasale',11.6859,33.1982,-176.16299
Labiale Superius',10.6146,34.095699,-184.8
Stomion',12.0507,33.007099,-195.396
Labiale Inferius',10.8223,35.284,-203.476
Cheilion' L,36.977299,46.790001,-197.882
Exocanthion' L,57.487099,63.603901,-138.39301
Endocanthion' R,-3.94592,50.356201,-135.201
Exocanthion' R,-27.0072,55.8316,-137.70399
Midsupraorbital' L,42.7062,48.483101,-122.664
Midsupraorbital' R,-16.2756,42.340099,-124.428
Frontotemporale' L,51.678501,53.271,-113.1
Frontotemporale' R,-22.0991,44.1693,-113.35
Frontozygomaticus' L,64.718201,63.9268,-121.845
