lmk_name,x_coord,y_coord,z_coord
Nasion',9.7939396,44.951599,-121.21
Glabella,9.5763798,45.6628,-109.738
Subnasale',10.8064,37.906399,-174.62801
Pronasale',11.3631,28.2279,-159.714
Labiale Superius',11.0288,37.675701,-180.974
Stomion',11.6924,37.220798,-189.28999
Labiale Inferius',11.6941,36.314098,-199.14799
Supramentale',11.5915,38.600399,-204.953
Pogonion,11.2601,38.318901,-218.455
Menton,9.9924097,41.807098,-231.53999
Gnathion',10.6232,39.5793,-226.142
Cheilion' R,-15.7274,49.178101,-192.33299
Alare' L,25.870501,40.504299,-164.23801
Alare' R,-6.6581001,47.603001,-163.968
Endocanthion' L,22.015699,52.113602,-133.55701
Endocanthion' R,-5.0939202,56.499802,-135.033
Exocanthion' R,-30.104,66.457703,-136.692
Midsupraorbital' L,35.9314,48.084801,-118.504
Midsupraorbital' R,-18.5441,55.046299,-120.475
Frontozygomaticus' R,-40.9827,73.612701,-121.833
Frontotemporale' R,-24.5667,58.3447,-110.028
