lmk_name,x_coord,y_coord,z_coord
Frontotemporale' R,-25.9233,52.880798,-111.284
Frontozygomaticus' R,-38.723801,71.562302,-120.994
Endocanthion' R,-7.66325,50.6245,-136.353
Endocanthion' L,16.758801,41.421299,-139.004
Midsupraorbital' L,25.180599,31.2931,-124.234
Midsupraorbital' R,-20.632099,49.216301,-123.127
Exocanthion' R,-29.588499,63.686401,-136.47099
Glabella,2.90605,34.579498,-114.923
Nasion',4.8776202,35.5784,-126.079
Pronasale',4.4830499,25.4037,-158.658
Alare' R,-8.24121,46.384399,-159.69501
Alare' L,20.849001,34.903702,-160.755
Cheilion' R,-9.5873461,49.076279,-183.82109
Stomion',9.3098803,35.714199,-183.82001
Subnasale',6.2094402,35.3158,-169.938
Labiale Superius',7.51262,34.823601,-176.045
Labiale Inferius',10.211,36.099602,-191.306
Pogonion,9.9633904,40.426601,-207.63901
Gnathion',10.5431,43.097401,-213.63901
Menton,12.6675,47.6572,-216.302
