lmk_name,x_coord,y_coord,z_coord
Alare' L,23.6126,34.826401,-164.37399
Labiale Inferius',9.0959702,34.7976,-203.847
Endocanthion' L,23.796499,44.589199,-133.23801
Endocanthion' R,-3.8731401,54.6203,-129.886
Nasion',8.9865999,39.684399,-118.199
Subnasale',7.3741698,38.6259,-174.782
Exocanthion' R,-27.8612,70.262398,-130.36
Pronasale',5.2387199,23.351101,-160.771
Midsupraorbital' L,36.152302,35.440899,-118.07
Frontotemporale' R,-23.2432,59.560799,-103.977
Frontozygomaticus' R,-36.251598,79.713799,-114.055
Cheilion' R,-19.1779,57.1833,-195.66701
Alare' R,-11.7166,51.193802,-162.078
Stomion',9.0023899,34.783901,-193.61301
Midsupraorbital' R,-17.9433,55.499298,-114.974
Glabella,7.5679598,38.138401,-106.787
