lmk_name,x_coord,y_coord,z_coord
Supramentale',11.1184,40.563,-206.397
Pogonion,10.2569,37.945801,-219.216
Gnathion',10.5314,39.679199,-226.078
Menton,12.2414,43.7094,-230.38699
Nasion',10.0566,45.931198,-120.426
Glabella,9.4714603,45.0424,-109.293
Pronasale',7.38695,27.149599,-157.07401
Subnasale',8.9945898,37.6586,-172.56799
Labiale Inferius',9.92414,38.8507,-200.82201
Labiale Superius',9.0326796,37.555,-180.69901
Cheilion' L,35.162201,49.575901,-192.703
Alare' L,23.935801,41.665798,-161.42799
Alare' R,-11.0969,46.418999,-163.724
Endocanthion' L,25.861601,56.269901,-134.161
Endocanthion' R,-4.1802402,54.889599,-135.103
Exocanthion' L,49.456398,62.111279,-132.61644
Midsupraorbital' L,39.2019,54.710201,-117.841
Midsupraorbital' R,-17.723301,49.559898,-121.404
Otobasion Inferius' L,60.1143,125.565,-142.79401
Frontozygomaticus' L,60.889801,67.650597,-118.313
Frontotemporale' R,-23.288099,52.2939,-110.32
Frontotemporale' L,48.410301,59.428299,-108.009
Stomion',9.6675396,38.308498,-191.403
