lmk_name,x_coord,y_coord,z_coord
Nasion',12.0465,41.682499,-120.769
Glabella,10.4797,41.064201,-110.612
Pronasale',11.133,21.989401,-159.576
Subnasale',12.7171,32.4006,-176.416
Labiale Superius',13.5383,32.629902,-184.45
Labiale Inferius',17.245899,30.686501,-202.233
Stomion',16.1702,30.9956,-192.582
Supramentale',17.976801,34.0555,-208.105
Pogonion,19.588301,31.6304,-224.25301
Gnathion',20.282301,33.111599,-232.02
Menton,22.0672,38.183201,-235.07001
Cheilion' L,35.123886,41.374233,-192.81909
Alare' L,27.423401,35.702202,-164.95799
Alare' R,-7.6294999,37.095798,-165.838
Endocanthion' L,28.4937,53.0979,-134.76801
Exocanthion' L,55.9412,65.8228,-135.58501
Endocanthion' R,-1.51168,48.7313,-134.673
Midsupraorbital' L,40.589199,51.108299,-120.282
Midsupraorbital' R,-15.6899,42.347,-125.386
Frontozygomaticus' L,60.313099,67.389297,-118.995
Frontotemporale' L,48.328602,57.3484,-110.418
Frontotemporale' R,-22.7644,44.530201,-114.181
