lmk_name,x_coord,y_coord,z_coord
Pogonion,14.7489,41.286301,-216.347
Menton,16.7668,48.6101,-228.323
Glabella,8.6026297,41.907902,-107.282
Nasion',9.2989597,43.157799,-118.203
Labiale Superius',10.7427,37.726799,-178.258
Stomion',12.6698,37.161999,-186.974
Labiale Inferius',13.0779,37.115101,-195.40199
Cheilion' L,33.611416,44.611122,-186.70192
Subnasale',10.8312,36.7052,-171.492
Pronasale',8.3071299,25.8139,-156.65401
Alare' L,25.596901,38.396,-160.33299
Alare' R,-9.0813799,44.124901,-159.297
Endocanthion' L,26.7414,52.526501,-131.228
Exocanthion' L,51.742065,57.821686,-130.12476
Endocanthion' R,-4.3685598,53.065399,-132.049
Exocanthion' R,-26.9196,59.530399,-134.933
Frontotemporale' L,49.695099,53.112202,-105.341
Frontotemporale' R,-24.603701,49.2309,-108.199
Frontozygomaticus' L,62.974899,61.950802,-114.959
Midsupraorbital' L,40.4231,48.868801,-114.749
Midsupraorbital' R,-18.4216,47.071999,-119.075
Supramentale',13.5397,41.904499,-201.63699
Gnathion',15.0912,44.024899,-223.894
