lmk_name,x_coord,y_coord,z_coord
Glabella,8.8722897,44.719398,-106.006
Pronasale',11.115,31.4314,-157.43401
Nasion',10.5382,45.3899,-116.843
Subnasale',10.8839,39.479801,-172.687
Labiale Superius',11.9965,39.563,-181.672
Stomion',14.186,40.650002,-193.901
Labiale Inferius',14.797,40.7341,-204.2
Pogonion,15.5725,42.564602,-223.548
Cheilion' L,32.680489,43.990765,-195.00015
Cheilion' R,-14.2792,51.7976,-197.25301
Endocanthion' L,24.961,51.248001,-130.444
Frontozygomaticus' R,-41.834599,70.507698,-119.054
Frontotemporale' L,49.695202,49.609402,-105.679
Midsupraorbital' R,-20.082701,53.2985,-118.086
Supramentale',15.8107,43.549,-209.793
Gnathion',15.7308,44.009102,-230.34599
Menton,16.5179,47.557999,-234.638
Alare' R,-9.3052397,48.852501,-161.605
Alare' L,25.8734,40.873699,-161.02901
Exocanthion' L,48.927006,53.115601,-129.50095
Endocanthion' R,-5.9946799,55.914101,-130.11501
Exocanthion' R,-31.1665,63.8153,-133.41299
Frontozygomaticus' L,60.317001,58.027401,-115.247
Frontotemporale' R,-26.8398,55.9674,-106.775
Midsupraorbital' L,40.689899,46.1698,-114.819
