lmk_name,x_coord,y_coord,z_coord
Glabella,9.3080397,44.110401,-109.247
Labiale Inferius',13.8012,33.640999,-198.815
Alare' L,24.986046,39.131004,-166.53897
Exocanthion' R,-27.889999,65.126198,-137.78999
Midsupraorbital' L,37.1572,43.080002,-116.31
Frontotemporale' L,44.491501,45.725899,-108.42
Pronasale',9.9931097,25.9237,-157.746
Subnasale',12.0284,34.155998,-171.99899
Labiale Superius',12.686,33.796398,-179.655
Menton,15.0502,37.1744,-232.23801
Midsupraorbital' R,-17.058399,54.201,-121.555
Gnathion',14.1942,33.372299,-227.689
Endocanthion' R,-3.3559401,53.192299,-135.44299
Nasion',10.6412,43.3283,-120.735
Stomion',13.4942,33.713299,-189.037
Endocanthion' L,23.0509,48.922298,-134.13901
Supramentale',14.5041,34.8745,-204.457
Pogonion,14.3912,32.712799,-220.015
Alare' R,-5.64115,44.834,-165.32001
Frontotemporale' R,-23.802,58.326599,-111.251
Cheilion' R,-12.7201,49.354401,-193.658
Frontozygomaticus' R,-39.754601,73.713799,-123.666
