lmk_name,x_coord,y_coord,z_coord
Subnasale',9.6090355,35.553219,-171.09935
Pronasale',8.0302896,26.7253,-160.263
Nasion',8.7988997,42.899399,-121.843
Alare' L,24.746983,44.656776,-164.49072
Alare' R,-6.6665692,43.90271,-167.07419
Labiale Superius',9.7782803,38.173302,-181.823
Stomion',11.9053,39.074001,-190.655
Labiale Inferius',12.8999,39.220901,-200.03101
Exocanthion' L,56.0709,60.510601,-133.64
Endocanthion' L,25.305099,52.443401,-134.91
Endocanthion' R,-4.23001,53.3111,-135.502
Midsupraorbital' L,38.302399,48.6329,-118.092
Midsupraorbital' R,-17.816,47.768299,-122.491
Frontotemporale' R,-23.7384,48.180698,-112.81
Frontotemporale' L,47.7771,52.377899,-108.05
Frontozygomaticus' L,60.8629,61.4739,-116.789
Cheilion' L,32.565994,45.562618,-191.37105
Glabella,7.38796,40.948101,-111.264
