lmk_name,x_coord,y_coord,z_coord
Pronasale',7.7679601,26.046301,-160.15601
Labiale Superius',9.0910578,35.489727,-184.48793
Supramentale',11.7604,40.178299,-204.192
Nasion',6.82862,44.817902,-123.361
Stomion',11.1086,36.697701,-190.05701
Subnasale',9.92593,35.491798,-173.98801
Glabella,6.0160398,44.100899,-111.828
Labiale Inferius',10.9491,36.587399,-198.744
Gnathion',11.0728,40.581001,-223.27499
Pogonion,11.5512,38.810799,-216.554
Menton,11.6457,44.708801,-227.52299
Cheilion' R,-11.661286,50.941826,-194.9368
Alare' L,23.798,37.318001,-163.007
Alare' R,-7.4154301,49.574299,-164.388
Endocanthion' L,20.293501,49.960701,-136.927
Endocanthion' R,-6.3060899,57.646999,-136.511
Exocanthion' R,-29.312401,70.4021,-137.241
Midsupraorbital' L,32.457001,43.007301,-120.781
Midsupraorbital' R,-19.434401,57.818802,-121.474
Frontozygomaticus' R,-39.757401,79.191803,-123.149
Frontotemporale' L,39.3974,45.725201,-112.055
Frontotemporale' R,-25.6625,61.549301,-110.145
