lmk_name,x_coord,y_coord,z_coord
Nasion',10.7455,42.875,-127.497
Glabella,9.9162502,41.567799,-116.863
Labiale Superius',12.7359,40.9062,-185.097
Cheilion' R,-15.5407,53.7589,-196.472
Frontotemporale' L,45.610199,48.226101,-117.159
Frontotemporale' R,-24.0182,53.689999,-116.776
Subnasale',11.9901,40.577599,-177.804
Stomion',13.4948,43.6241,-193.894
Supramentale',14.2317,45.944,-209.564
Pogonion,14.146,45.161201,-223.73399
Gnathion',13.6227,47.633801,-230.32201
Alare' L,25.586901,42.213902,-168.814
Alare' R,-5.9986401,48.270599,-168.56799
Endocanthion' R,-4.6574402,54.042099,-139.095
Exocanthion' R,-29.234198,60.472603,-136.93613
Frontozygomaticus' R,-41.871101,68.349503,-127.039
Midsupraorbital' L,38.047501,44.5149,-126.766
Midsupraorbital' R,-18.306999,50.5121,-128.153
Labiale Inferius',14.1872,43.464298,-203.791
Menton,13.4699,53.2183,-234.10201
Pronasale',12.9339,29.337099,-164.311
Endocanthion' L,23.6737,52.257301,-140.017
