lmk_name,x_coord,y_coord,z_coord
Subnasale',10.6951,37.2337,-174.411
Nasion',7.2646999,42.102299,-122.538
Glabella,5.23348,41.783501,-111.234
Pronasale',8.4255199,26.641199,-160.71001
Labiale Superius',11.6278,37.766998,-180.71001
Stomion',13.4265,38.256302,-189.289
Labiale Inferius',15.2104,38.669498,-197.423
Supramentale',15.8216,40.299599,-202.729
Menton,17.946699,46.708599,-227.565
Endocanthion' R,-8.6293697,56.560902,-135.948
Exocanthion' R,-33.914799,68.903603,-137.55299
Midsupraorbital' L,36.409801,41.051498,-117.932
Pogonion,16.6022,38.817101,-216.392
Gnathion',17.4263,41.005699,-223.467
Cheilion' R,-15.0462,57.616199,-191.644
Alare' L,24.8971,37.7071,-163.45399
Alare' R,-10.3267,50.874199,-163.84599
Endocanthion' L,23.748199,50.055698,-135.89
Midsupraorbital' R,-23.8367,55.036598,-122.149
Frontozygomaticus' R,-45.765701,75.505699,-123.231
Frontotemporale' L,44.7878,43.383801,-108.495
Frontotemporale' R,-30.6677,58.108799,-110.923
