lmk_name,x_coord,y_coord,z_coord
Nasion',8.3842602,36.789902,-126.108
Glabella,7.93399,36.248901,-115.736
Pronasale',9.7408104,19.4718,-163.02
Subnasale',9.8012505,34.7715,-177.44701
Labiale Superius',9.7571001,36.053101,-185.077
Stomion',11.5656,39.722599,-193.623
Labiale Inferius',12.0086,40.4772,-205.267
Supramentale',13.3301,44.673599,-209.799
Cheilion' L,32.123962,48.097641,-192.37624
Alare' L,25.6029,35.598301,-166.94
Frontozygomaticus' L,57.643398,58.666698,-120.103
Frontotemporale' L,46.191601,48.1325,-112.654
Pogonion,13.7583,45.8554,-223.98599
Gnathion',13.8804,49.9758,-231.13901
Exocanthion' L,46.290379,53.115925,-141.63785
Menton,15.87,56.0569,-236.66701
Alare' R,-7.43501,44.141899,-167.929
Endocanthion' L,25.061501,48.810101,-137.25999
Midsupraorbital' L,37.681599,43.266201,-122.574
