lmk_name,x_coord,y_coord,z_coord
Glabella,10.8258,33.1586,-120.441
Alare' L,26.6467,34.716,-168.765
Nasion',11.7661,34.200802,-130.459
Pronasale',10.8673,18.2971,-164.884
Alare' R,-4.4433298,43.654598,-169.339
Endocanthion' L,26.077499,46.922798,-142.563
Subnasale',13.4476,33.5909,-178.92101
Labiale Superius',13.3314,34.8232,-186.347
Stomion',14.9029,36.742199,-194.957
Labiale Inferius',11.999753,37.928207,-201.18724
Cheilion' L,35.360435,45.769341,-193.82182
Cheilion' R,-9.8012056,48.795017,-192.12274
Exocanthion' L,54.465401,54.228199,-143.067
Endocanthion' R,-3.5234201,50.401798,-141.52299
Exocanthion' R,-27.8048,61.470901,-143.12199
Midsupraorbital' L,40.0644,38.330399,-128.944
Midsupraorbital' R,-16.3934,45.785,-130.64
Frontotemporale' L,47.768002,42.6651,-119.442
Frontotemporale' R,-22.790501,47.541401,-118.801
Frontozygomaticus' L,59.3353,54.8904,-127.77
Frontozygomaticus' R,-36.708801,68.466202,-127.83
