lmk_name,x_coord,y_coord,z_coord
Nasion',9.9433603,42.846001,-120.485
Glabella,10.0858,43.020401,-110.122
Subnasale',10.1558,35.020199,-174.78799
Pronasale',9.89851,23.0916,-157.73599
Labiale Superius',8.2717609,33.91544,-186.5155
Stomion',9.2821798,35.862202,-191.638
Labiale Inferius',9.6761904,37.520401,-198.15199
Supramentale',10.5711,40.967602,-203.40601
Pogonion,10.3752,40.727798,-217.655
Menton,11.4872,48.703899,-230.765
Gnathion',10.1093,43.489498,-225.474
Cheilion' L,31.784063,47.296261,-189.56761
Cheilion' R,-7.7189507,42.617096,-193.33084
Alare' L,24.620001,38.901001,-163.388
Alare' R,-7.6581898,45.857601,-161.76601
Endocanthion' L,25.341499,54.484901,-135.14799
Exocanthion' L,48.078217,59.973518,-137.54132
Endocanthion' R,-4.8689299,55.151299,-134.744
Exocanthion' R,-29.1471,63.665001,-135.85001
Midsupraorbital' L,40.354301,49.775398,-118.427
Midsupraorbital' R,-18.3349,50.5811,-120.226
Frontozygomaticus' L,59.164902,66.472298,-118.967
Frontozygomaticus' R,-38.571602,70.361603,-120.281
Frontotemporale' L,48.8386,56.188301,-109.58
Frontotemporale' R,-24.1189,53.352901,-108.529
