lmk_name,x_coord,y_coord,z_coord
Frontotemporale' L,51.378502,57.523399,-111.133
Frontotemporale' R,-23.485201,51.936298,-113.699
Frontozygomaticus' L,63.233799,67.226303,-121.527
Frontozygomaticus' R,-38.5574,68.227798,-125.265
Endocanthion' R,-3.9293699,51.7384,-137.709
Endocanthion' L,28.555201,54.327702,-137.711
Midsupraorbital' L,42.779701,49.982101,-120.184
Midsupraorbital' R,-17.6521,47.8624,-123.681
Exocanthion' R,-25.704882,55.673786,-138.30109
Exocanthion' L,48.52832,59.777626,-141.63187
Glabella,11.6902,40.981899,-113.367
Nasion',12.1625,41.565899,-123.816
Pronasale',12.3845,21.1413,-160.172
Alare' R,-8.0349302,43.883801,-165.31799
Alare' L,27.979078,44.168716,-166.86159
Cheilion' L,30.19471,47.346691,-194.96999
Cheilion' R,-9.2447252,44.496124,-194.33229
Stomion',11.7036,35.520699,-193.33099
Subnasale',10.7245,34.781399,-174.996
Labiale Superius',11.2312,34.936798,-182.882
Labiale Inferius',11.5834,37.020699,-202.30099
Pogonion,11.8975,41.5406,-218.677
Gnathion',12.3319,44.5606,-226.08299
Menton,12.1185,51.1469,-230.24899
