lmk_name,x_coord,y_coord,z_coord
Alare' L,25.9331,40.569401,-165.27299
Labiale Inferius',12.3797,43.521999,-198.44501
Exocanthion' L,48.270451,57.841633,-132.01253
Endocanthion' L,24.0194,53.497799,-133.08
Endocanthion' R,-4.9702501,56.095501,-133.957
Nasion',8.6346302,41.6259,-121.432
Subnasale',9.2965803,38.8214,-175.481
Exocanthion' R,-28.199541,62.573788,-135.16241
Pronasale',9.9585304,22.221001,-161.98399
Midsupraorbital' L,38.2141,46.332401,-116.249
Frontotemporale' L,46.822102,51.955002,-106.657
Frontotemporale' R,-24.710501,52.929199,-106.458
Frontozygomaticus' R,-38.9464,71.6259,-118.119
Cheilion' R,-9.9075756,49.399731,-190.52191
Alare' R,-10.4746,48.304298,-163.694
Stomion',11.1485,41.258301,-190.464
Midsupraorbital' R,-19.1444,50.597401,-119.599
Frontozygomaticus' L,58.502998,64.471298,-115.359
Cheilion' L,37.613998,56.672501,-191.53799
Glabella,8.0138798,40.348999,-109.027
