lmk_name,x_coord,y_coord,z_coord
Supramentale',18.8223,43.257702,-197.70799
Nasion',7.4892454,44.420757,-120.90377
Glabella,6.5116954,44.44154,-109.63156
Pronasale',15.642177,26.643557,-160.50246
Subnasale',17.2321,35.176899,-173.83501
Labiale Inferius',18.7276,39.733002,-194.505
Labiale Superius',17.606001,36.345501,-180.368
Cheilion' R,-5.8798108,48.694744,-192.12085
Cheilion' L,36.222767,48.792301,-187.52054
Alare' L,29.828442,45.017315,-161.24014
Alare' R,-1.634341,39.484818,-166.58408
Endocanthion' L,27.188141,54.133694,-134.42245
Endocanthion' R,0.16136017,48.77589,-133.6927
Exocanthion' L,47.242237,59.770714,-133.63258
Exocanthion' R,-21.237923,56.821396,-144.1355
Midsupraorbital' L,27.25248,46.830826,-119.39793
Midsupraorbital' R,-8.5418005,52.418354,-126.7554
Frontozygomaticus' L,53.981155,64.239388,-120.47781
Frontozygomaticus' R,-31.901043,58.994175,-122.3637
Frontotemporale' R,-14.125189,49.416786,-109.59806
Frontotemporale' L,46.16338,54.903194,-114.07409
Stomion',19.3806,38.190701,-187.98
