lmk_name,x_coord,y_coord,z_coord
Nasion',15.8313,33.530399,-127.961
Glabella,14.4306,32.6409,-117.049
Pronasale',17.8801,20.728001,-162.12399
Subnasale',17.2321,35.176899,-173.83501
Labiale Superius',17.606001,36.345501,-180.368
Labiale Inferius',18.7276,39.733002,-194.505
Stomion',19.3806,38.190701,-187.98
Supramentale',18.8223,43.257702,-197.70799
Pogonion,18.8223,43.541698,-210.81799
Gnathion',19.290899,48.187599,-218.369
Menton,20.2281,57.219299,-221.453
Cheilion' L,32.820431,47.189377,-187.1946
Cheilion' R,-3.5065174,46.637268,-185.79727
Alare' L,29.3703,36.359402,-163.97099
Alare' R,0.801956,40.944599,-163.87199
Endocanthion' L,27.6007,46.9002,-137.509
Exocanthion' L,45.150951,52.778809,-137.76004
Endocanthion' R,1.64443,45.907398,-138.62399
Exocanthion' R,-22.7216,52.4748,-139.575
Midsupraorbital' L,40.202499,39.680199,-123.455
Midsupraorbital' R,-11.3363,38.792099,-128.94
Frontozygomaticus' L,54.215099,58.902302,-118.667
Frontozygomaticus' R,-31.2159,57.584599,-125.254
Frontotemporale' L,44.873402,45.8825,-112.39
Frontotemporale' R,-16.470699,40.4007,-116.881
