lmk_name,x_coord,y_coord,z_coord
Pogonion,11.302876,47.073734,-217.35321
Menton,13.435028,60.810493,-229.34688
Glabella,7.29813,36.913399,-116.03
Nasion',9.1508198,38.948799,-125.825
Labiale Superius',8.2820539,41.875481,-182.81825
Stomion',10.535721,43.65527,-191.87933
Labiale Inferius',9.98909,45.638611,-198.74406
Cheilion' L,34.995056,57.931889,-188.64597
Cheilion' R,-7.146699,53.669136,-190.21135
Subnasale',9.5267439,40.534111,-176.17831
Pronasale',12.041,24.1656,-165.02901
Alare' L,25.2868,42.2733,-167.049
Alare' R,-5.1324902,46.765999,-166.48199
Endocanthion' L,23.4498,53.1399,-136.957
Exocanthion' L,43.437679,57.194725,-135.41757
Endocanthion' R,-6.4469199,51.511398,-138.59801
Exocanthion' R,-30.7777,60.208199,-141.808
Frontotemporale' L,42.499401,51.481499,-111.318
Frontotemporale' R,-27.349199,46.492001,-117.692
Frontozygomaticus' R,-41.616901,65.782799,-126.743
Frontozygomaticus' L,54.415199,63.0396,-118.474
Midsupraorbital' L,36.6721,45.912998,-122.074
Midsupraorbital' R,-20.738001,45.1105,-127.919
Supramentale',11.195358,47.985622,-203.78093
Gnathion',11.938776,52.611908,-224.63902
