lmk_name,x_coord,y_coord,z_coord
Glabella,13.8817,41.411499,-108.85
Pronasale',11.0355,22.5709,-157.55901
Nasion',13.7962,42.820599,-119.642
Subnasale',10.0105,38.8311,-173.66701
Labiale Superius',8.5777702,40.139301,-181.75999
Stomion',8.40695,42.903301,-193.894
Labiale Inferius',8.3215303,44.312401,-204.687
Pogonion,8.0652905,48.462299,-223.564
Cheilion' L,30.657312,51.76144,-194.66304
Cheilion' R,-15.975359,56.264378,-193.95494
Endocanthion' L,26.6716,53.190701,-134.433
Frontozygomaticus' R,-35.495399,73.490501,-115.416
Frontotemporale' L,52.441502,51.987701,-111.489
Midsupraorbital' R,-16.442801,50.357201,-116.899
Supramentale',8.0652905,48.385101,-210.063
Gnathion',7.8090501,52.542801,-230.28999
Menton,8.8147297,58.048302,-235.659
Alare' R,-6.8406701,48.515099,-161.461
Alare' L,26.1784,39.801998,-164.211
Exocanthion' L,51.033836,58.717407,-137.634
Endocanthion' R,-3.22577,55.3381,-131.72099
Exocanthion' R,-28.1609,64.579102,-131.668
Frontozygomaticus' L,62.5368,63.503399,-120.874
Frontotemporale' R,-22.088301,53.995701,-106.078
Midsupraorbital' L,43.266499,47.401901,-120.966
