lmk_name,x_coord,y_coord,z_coord
Glabella,8.1018801,47.747002,-111.91
Labiale Inferius',3.21841,40.9855,-197.44299
Alare' L,17.9107,38.9543,-163.29401
Exocanthion' R,-26.444799,72.451797,-138.515
Midsupraorbital' L,37.557301,47.702202,-123.773
Frontotemporale' L,46.700901,52.126499,-115.253
Pronasale',2.79719,27.915199,-157.629
Subnasale',2.4263,39.294601,-172.369
Labiale Superius',2.2471199,39.940201,-178.66499
Menton,5.6331601,51.3204,-230.737
Cheilion' L,23.979549,46.950718,-190.52374
Midsupraorbital' R,-17.962999,59.427799,-122.215
Frontozygomaticus' L,58.585999,60.716202,-124.506
Gnathion',3.1444499,46.049999,-225.32899
Endocanthion' R,-4.14359,60.386398,-135.73399
Nasion',8.3293505,46.752499,-123.039
Stomion',3.0414901,41.759102,-188.787
Endocanthion' L,23.052799,54.204498,-138.367
Exocanthion' L,45.580486,54.324478,-143.16489
Supramentale',4.8094001,44.751202,-202.73399
Pogonion,3.90944,43.1185,-217.57001
Alare' R,-10.850463,51.10265,-164.02435
Frontotemporale' R,-21.8444,64.712502,-110.298
Cheilion' R,-14.659887,55.181946,-189.92606
Frontozygomaticus' R,-34.056,82.358002,-122.1
