lmk_name,x_coord,y_coord,z_coord
Subnasale',14.328712,31.761309,-171.56276
Pronasale',14.1735,22.6173,-159.33
Nasion',13.6602,39.717999,-122.57
Alare' L,28.0895,40.8242,-163.311
Alare' R,-3.34097,44.827702,-162.86301
Labiale Superius',14.7292,37.306198,-181.159
Stomion',15.2918,39.5215,-189.683
Labiale Inferius',15.2802,40.558899,-199.786
Exocanthion' L,50.368874,63.380104,-137.26355
Endocanthion' L,28.5142,53.696499,-135.737
Endocanthion' R,-1.96817,52.582401,-135.81599
Exocanthion' R,-26.349899,58.434399,-136.645
Midsupraorbital' L,41.675499,49.5928,-120.13
Midsupraorbital' R,-15.2917,45.804199,-121.911
Frontotemporale' R,-21.943701,47.4664,-110.065
Frontotemporale' L,50.453899,54.3825,-110.897
Frontozygomaticus' R,-36.612701,66.056801,-121.266
Frontozygomaticus' L,60.1684,66.972702,-119.825
Cheilion' R,-4.3511734,47.912853,-188.47488
Cheilion' L,34.219067,50.306602,-187.35941
Glabella,13.1009,37.206299,-111.159
