lmk_name,x_coord,y_coord,z_coord
Glabella,10.9381,42.510502,-113.181
Gnathion',13.1314,45.452999,-224.491
Menton,14.4088,51.1521,-230.367
Pogonion,12.2798,41.381401,-217.215
Endocanthion' L,26.4918,55.417801,-137.487
Nasion',10.5123,41.597198,-123.395
Subnasale',10.3476,33.799801,-174.731
Exocanthion' R,-23.701172,57.767544,-138.28363
Pronasale',10.1829,20.5938,-159.323
Labiale Superius',9.6928396,35.3871,-180.94099
Stomion',11.4282,35.778999,-191.05
Labiale Inferius',11.854,38.120998,-198.465
Cheilion' L,29.528269,45.3204,-190.90034
Cheilion' R,-6.6482782,43.49041,-189.25089
Alare' L,25.278601,37.583698,-164.284
Alare' R,-8.7730503,44.9949,-163.683
Exocanthion' L,45.334423,59.519512,-138.35396
Endocanthion' R,-3.4023399,53.458,-136.37801
Frontotemporale' L,48.364101,56.279499,-112.065
Frontotemporale' R,-22.6877,51.651299,-112.44
Frontozygomaticus' L,58.9408,66.5308,-122.642
Frontozygomaticus' R,-37.715099,70.100502,-123.621
Midsupraorbital' L,39.2938,50.145302,-122.703
Midsupraorbital' R,-18.333401,47.8372,-124.157
Supramentale',12.7056,41.988499,-203.222
