lmk_name,x_coord,y_coord,z_coord
Pronasale',10.2816,26.265499,-161.66901
Labiale Superius',9.08109,36.551899,-181.50999
Supramentale',11.7636,44.631802,-205.033
Nasion',9.0300903,42.596401,-126.038
Stomion',10.7161,38.680698,-191.40199
Subnasale',8.5190802,37.7089,-175.351
Glabella,9.0300903,42.701698,-114.933
Labiale Inferius',11.8146,39.160801,-200.045
Gnathion',12.8366,47.765499,-224.806
Pogonion,12.3256,43.416302,-217.36099
Menton,13.3222,54.908699,-228.576
Cheilion' L,31.027464,47.742035,-191.59584
Cheilion' R,-8.9237986,47.184292,-191.78545
Alare' L,22.8508,39.5905,-165.49699
Alare' R,-8.6737099,47.024799,-165.56799
Endocanthion' L,23.8218,54.204498,-138.48801
Exocanthion' L,46.14341,58.661514,-140.26024
Endocanthion' R,-5.4291601,54.4743,-139.724
Exocanthion' R,-29.8006,64.170403,-141.05
Midsupraorbital' L,37.106098,50.0648,-122.407
Midsupraorbital' R,-18.6369,50.618198,-126.114
Frontozygomaticus' L,56.266399,66.808502,-121.332
Frontozygomaticus' R,-37.055698,73.073097,-126.327
Frontotemporale' L,44.2337,55.1908,-112.583
Frontotemporale' R,-24.7425,54.5299,-115.045
