lmk_name,x_coord,y_coord,z_coord
Nasion',8.6320295,31.9429,-127.706
Glabella,8.1179399,29.0959,-116.755
Labiale Superius',6.58567,36.452202,-180
Cheilion' L,31.08544,49.305828,-187.55537
Cheilion' R,-8.9622183,44.7052,-190.47716
Exocanthion' L,42.598869,48.791275,-140.32845
Frontotemporale' L,43.8475,42.0648,-115.611
Frontotemporale' R,-22.9555,39.617401,-112.875
Subnasale',7.8989201,33.908199,-172.78999
Stomion',8.6415005,38.0205,-188.608
Supramentale',9.3557396,43.902302,-200.062
Pogonion,9.2796097,45.468601,-212.67599
Gnathion',9.7653704,50.085098,-219.263
Alare' L,21.737301,33.875401,-164.338
Alare' R,-7.7659702,41.348598,-162.479
Endocanthion' R,-6.1189198,44.444599,-136.864
Exocanthion' R,-30.396999,53.330799,-136.995
Frontozygomaticus' R,-37.924702,58.677601,-120.338
Midsupraorbital' L,35.3955,36.6357,-126.532
Midsupraorbital' R,-19.2724,38.453701,-124.72
Labiale Inferius',8.4799099,41.040001,-195.64101
Menton,10.9272,58.3843,-222.258
Frontozygomaticus' L,53.2995,54.957401,-122.23
Pronasale',8.9447098,20.189199,-160.687
Endocanthion' L,22.0716,43.3708,-138.423
