lmk_name,x_coord,y_coord,z_coord
Subnasale',10.4537,38.348801,-176.29201
Nasion',10.7269,43.7929,-127.336
Glabella,8.8251801,44.130199,-115.753
Pronasale',10.1443,25.427299,-162.901
Labiale Superius',9.62395,39.6367,-182.854
Stomion',11.1995,39.103001,-191.871
Labiale Inferius',11.9069,41.011902,-200.811
Supramentale',11.9621,42.527901,-204.621
Menton,15.2043,52.767601,-230.95399
Endocanthion' R,-5.99225,57.5303,-140.20799
Exocanthion' R,-29.799999,67.039703,-142.506
Midsupraorbital' L,40.659,51.538799,-122.937
Pogonion,14.1899,42.387001,-218.769
Gnathion',14.3002,45.418999,-226.388
Cheilion' L,38.223625,51.329376,-188.88527
Cheilion' R,-6.9610896,44.725773,-192.67087
Alare' L,26.086399,40.835602,-166.24899
Alare' R,-8.1695404,47.973801,-167.435
Endocanthion' L,26.2565,56.597,-140.112
Exocanthion' L,51.037254,62.720192,-143.46468
Midsupraorbital' R,-20.4932,53.327702,-126.642
Frontozygomaticus' L,59.7449,67.926003,-121.878
Frontozygomaticus' R,-38.862202,74.358101,-127.367
Frontotemporale' L,48.5005,56.7883,-113.673
Frontotemporale' R,-24.7449,57.002701,-116.413
